count,timePeriod
300,202001010000
686,202001020000
644,202001030000
475,202001040000
494,202001050000
812,202001060000
1038,202001070000
919,202001080000
2096,202001090000
2276,202001100000
479,202001110000
207,202001120000
830,202001130000
1220,202001140000
859,202001150000
956,202001160000
1087,202001170000
664,202001180000
401,202001190000
418,202001200000
1389,202001210000
1337,202001220000
1249,202001230000
989,202001240000
485,202001250000
268,202001260000
663,202001270000
982,202001280000
1059,202001290000
925,202001300000
1038,202001310000
495,202002010000
302,202002020000
951,202002030000
1160,202002040000
1276,202002050000
1449,202002060000
1021,202002070000
490,202002080000
317,202002090000
1416,202002100000
1658,202002110000
3455,202002120000
2685,202002130000
1661,202002140000
769,202002150000
997,202002160000
2079,202002170000
2380,202002180000
1485,202002190000
1694,202002200000
2008,202002210000
2153,202002220000
586,202002230000
1411,202002240000
1890,202002250000
1636,202002260000
3388,202002270000
2071,202002280000
833,202002290000
619,202003010000
1965,202003020000
2004,202003030000
1869,202003040000
3119,202003050000
2586,202003060000
1427,202003070000
1219,202003080000
2746,202003090000
2904,202003100000
3543,202003110000
6633,202003120000
4195,202003130000
2075,202003140000
2374,202003150000
3238,202003160000
2692,202003170000
5472,202003180000
3341,202003190000
3494,202003200000
1868,202003210000
1461,202003220000
2742,202003230000
6895,202003240000
5372,202003250000
3644,202003260000
3871,202003270000
2239,202003280000
2617,202003290000
4622,202003300000
5603,202003310000
33083,202004010000
8593,202004020000
4456,202004030000
1605,202004040000
1178,202004050000
3074,202004060000
2947,202004070000
2854,202004080000
2555,202004090000
2098,202004100000
1078,202004110000
664,202004120000
3575,202004130000
3626,202004140000
2740,202004150000
3171,202004160000
2255,202004170000
1223,202004180000
938,202004190000
2676,202004200000
2439,202004210000
1987,202004220000
2389,202004230000
1760,202004240000
1318,202004250000
960,202004260000
2130,202004270000
2246,202004280000
2163,202004290000
2892,202004300000
4670,202005010000
3674,202005020000
2756,202005030000
2632,202005040000
2151,202005050000
1962,202005060000
1988,202005070000
1702,202005080000
1044,202005090000
562,202005100000
1749,202005110000
1775,202005120000
1987,202005130000
2012,202005140000
1663,202005150000
797,202005160000
748,202005170000
1404,202005180000
1751,202005190000
1954,202005200000
1870,202005210000
1515,202005220000
882,202005230000
683,202005240000
550,202005250000
1318,202005260000
1645,202005270000
1873,202005280000
