id,timestamp,username,text,hashtags,geo,retweets,favorites,mentions,to,date
7603608848,2010-01-10 20:30:39+00:00,swujustice,Art Contest Census 2010 $1000 prize + 4 other and showcase at local art gallery with opp to sell http://bit.ly/8gUZYe #SATX #census2010,#SATX #census2010,,0,0,,,2010-01-10
7603608836,2010-01-10 20:30:39+00:00,rootsjardin,Art Contest Census 2010 $1000 prize + 4 other and showcase at local art gallery with opp to sell http://bit.ly/8gUZYe #SATX #census2010,#SATX #census2010,,0,0,,,2010-01-10
7603163596,2010-01-10 20:15:00+00:00,Representat10n,"The #2010Census form is to be filled out one per household, not one form per person. Making it fast, only 10 questions in about 10 minutes!",#2010Census,,1,0,,,2010-01-10
7594651611,2010-01-10 15:00:32+00:00,burgessct,The 10 Questions on the 2010 Census form http://ow.ly/UMoZ #census2010 | Do participate ur answers r important to all pub services,#census2010,,0,0,,,2010-01-10
7570433347,2010-01-09 21:55:18+00:00,xilonin,Azusa Complete Count Committee volunteers were trained for our assistance centers for the #Census : Be Counted! #Census2010,#Census #Census2010,,0,0,,,2010-01-09
7569189394,2010-01-09 21:10:55+00:00,raydennis,"Good one RT @raymondroker: Im checking the box ""No Negro Dialect"" on my census form #Census2010",#Census2010,,0,0,@raymondroker,,2010-01-09
7568999667,2010-01-09 21:03:57+00:00,Jenni_Lauren,"@Joi2TheeWorld It says Black, African American or Negro for one category... Who in the he11 came up with that???!! #2010Census",#2010Census,,0,0,@Joi2TheeWorld,Joi2TheeWorld,2010-01-09
7547722946,2010-01-09 05:34:37+00:00,cbrentlane,I'm so excited for the #2010Census; don't ask me why.,#2010Census,,0,0,,,2010-01-09
7532728995,2010-01-08 21:21:51+00:00,Icydrew49,"mutlilingual? Census 2010 needs you! Job fair event in #Baltimore 12 Jan, 10a-2p War Memorial Bldg, 101 Gay St Balto #census #census2010",#Baltimore #census #census2010,,0,0,,,2010-01-08
7529492577,2010-01-08 19:24:04+00:00,followCOREY,"Are you going to be a ""Negro"" in the #2010Census??",#2010Census,,0,0,,,2010-01-08
7526375213,2010-01-08 17:43:08+00:00,Representat10n,When was the last time you threw a snowball in Waycross? The #2010Census is helpin to make that happen for you at Harvey's Supermarket today,#2010Census,,0,0,,,2010-01-08
7522804824,2010-01-08 15:54:28+00:00,jenayemarnique,#2010census #2010census #2010census #2010census #2010census #2010census,#2010census #2010census #2010census #2010census #2010census #2010census,,0,0,,,2010-01-08
7522767217,2010-01-08 15:53:20+00:00,HipHopCaucus,Census count determines boundaries for your political representation. #census2010...,#census2010,,1,0,,,2010-01-08
7522702143,2010-01-08 15:51:21+00:00,HipHopCaucus,"Census counts determine funding for your communities schools, hospitals, job training centers, emergency services, and more. #Census2010",#Census2010,,1,0,,,2010-01-08
7522606184,2010-01-08 15:48:29+00:00,HipHopCaucus,Census figures determine how $400 billion per year is directed toward communities. #census2010,#census2010,,0,0,,,2010-01-08
7520196373,2010-01-08 14:35:05+00:00,_Basiyr_,"For those upset about #2010census, listen to MLK's speeches; uNcf, naaCp stand 4? There are worse things to be called, like Nigger...(cont)",#2010census,,0,0,,,2010-01-08
7500347407,2010-01-08 01:32:20+00:00,snipaHwolF,"#2010Census so ""African American"" or ""Black"" are sooooooo vague that they gotta include ""Negro"" in this year's census #Racism",#2010Census #Racism,,0,0,,,2010-01-08
7498741963,2010-01-08 00:43:21+00:00,iamkeewee,"RT @BrotherJesse ""Black is not a color. It's the essence from which all color comes from""--Hon. Elijah Muhammad &lt;~#2010Census",#2010Census,,0,0,@BrotherJesse,,2010-01-08
7494983252,2010-01-07 22:40:11+00:00,TammieJones,RT @UnitedWayJohn: Fact: every person not counted in #2010Census results in a loss of $1200 per person per year in fed funding for #Detroit.,#2010Census #Detroit,,0,0,@UnitedWayJohn,,2010-01-07
7493773930,2010-01-07 22:00:43+00:00,UnitedWayJohn,Stepping off my #2010Census soapbox for the day. Not saying it's important or anything...#justsayin.,#2010Census #justsayin,,0,0,,,2010-01-07
7493746937,2010-01-07 21:59:56+00:00,UnitedWayJohn,"#2010Census is 100% confidential &amp; strictly governed. If Obama cant get it, DHS cant either. Tell ppl 2 fill it out and be honest!",#2010Census,,0,0,,,2010-01-07
7493685744,2010-01-07 21:57:52+00:00,SimonApathy,1 for each box she's gonna check on the #2010census? @la2ocnbak,#2010census,,0,0,@LA2OCnBAK,,2010-01-07
7493098377,2010-01-07 21:38:28+00:00,howardcollens,RT @UnitedWayJohn: Fact: every person not counted in #2010Census results in a loss of $1200 per person per year in fed funding for #Detroit.,#2010Census #Detroit,,0,0,@UnitedWayJohn,,2010-01-07
7492927281,2010-01-07 21:32:48+00:00,UnitedWayJohn,Fact: every person not counted in #2010Census results in a loss of $1200 per person per year in fed funding for #Detroit.,#2010Census #Detroit,,1,0,,,2010-01-07
7492643353,2010-01-07 21:23:15+00:00,VPEPR,How to tell the difference between a U.S. Census worker & a con artist. #2010census http://ow.ly/TLxb,#2010census,,0,0,,,2010-01-07
7492598588,2010-01-07 21:21:45+00:00,deziak1906,"I am happy that in 2010, race is such an issue that we blow a gasket over the word NEGRO. Its cool to use NIGGA though. #2010CENSUS",#2010CENSUS,,0,0,,,2010-01-07
7491434324,2010-01-07 20:42:30+00:00,Phatnshhh,@RealTalibKweli So congress had the nerve to approve for the #census2010 to use NEGRO as an suggestion for African American race?BOYCOTT!!!,#census2010,,0,0,@RealTalibKweli,,2010-01-07
7491348261,2010-01-07 20:39:35+00:00,Phatnshhh,So congress had the nerve to approve for the #census2010 to use NEGRO as an suggestion for African American race????BOYCOTT!!!!!,#census2010,,0,0,,,2010-01-07
