id,timestamp,username,text,hashtags,geo,retweets,favorites,mentions,to,date
10293996417,2010-03-10 23:17:01+00:00,bouldercounty,Make a difference for our community. Complete and return the #2010Census form when it arrives later this month. Visit 2010census.gov.,#2010Census,,1,0,,,2010-03-10
10292232775,2010-03-10 22:34:13+00:00,LakelandVision,Thank you @Montine for helping people do the right thing. #census2010,#census2010,,0,0,@Montine,Montine,2010-03-10
10291737408,2010-03-10 22:22:02+00:00,FitWithCarmen,Watching @VotoLatino Conference http://bit.ly/dkpfug #becounted #census2010 #latism #latinos,#becounted #census2010 #latism #latinos,,0,0,@votolatino,,2010-03-10
10291361040,2010-03-10 22:12:39+00:00,CACensus2010,CCC? LCO? HTC? Overcount? Apportionment? Redistricting? Got Questions? Find answers here http://tiny.cc/census35 #census2010,#census2010,,0,0,,,2010-03-10
10289850832,2010-03-10 21:34:43+00:00,SAVIonline,"Watch for your #2010Census form. Participation is easy, important and safe. Make a difference in your community. http://www.2010census.gov",#2010Census,,1,0,,,2010-03-10
10289836988,2010-03-10 21:34:22+00:00,LakelandVision,Almost every service we enjoy (healthcare to public safety) is impacted by population #'s. More people=more demand=more money. #census2010,#census2010,,0,0,,,2010-03-10
10289669482,2010-03-10 21:30:17+00:00,jakehudspeth,"So, the gov't sent me a letter to tell me they're sending me a letter. That's gov't bureacracy @it's best! #census2010",#census2010,,0,0,,,2010-03-10
10289527200,2010-03-10 21:26:41+00:00,LakelandVision,The easiest way to have a huge impact on yourself and your community is by completing and returning your census. Seriously. #census2010,#census2010,,0,0,,,2010-03-10
10289423312,2010-03-10 21:23:30+00:00,calvinwilliams3,Check out the @usstudents census video: http://www.usstudents.org/our-work/studentsvote-1/studentscount-2010 (via @jfierce) #census2010,#census2010,,0,0,@USStudents @JFierce,,2010-03-10
10289392044,2010-03-10 21:21:37+00:00,yaeshora2014,RT@NALEO2010: Nat'l Latino Orgs & Mems of Congress gathering 4 Latino 2010 Census Summit - March 17 in DC http://eepurl.com/jfY1 #2010Census,#2010Census,,1,0,,,2010-03-10
10288962568,2010-03-10 21:09:22+00:00,NALEO,Nat'l Latino Orgs & Members of Congress gathering for Latino 2010 Census Summit - March 17th in DC http://eepurl.com/jfY1 #2010Census,#2010Census,,0,0,,,2010-03-10
10287712752,2010-03-10 20:36:25+00:00,BrianLehrer,What's your 11th #2010census question? Submit a q you'd want to ask everyone in America at our new census homepage http://bit.ly/bucucE,#2010census,,0,0,,,2010-03-10
10285460158,2010-03-10 19:36:30+00:00,CoCoSouthLA,"Peace Rally & Car Show w/free food, music and lots of FUN! http://bit.ly/d4RzfQ #census #census2010",#census #census2010,,0,0,,,2010-03-10
10285035555,2010-03-10 19:25:24+00:00,PictPerfectOrg,@ReadyAimOrganiz I always love filling out forms. Weird like that. Looking forward to my #2010census too!,#2010census,,0,0,,tfinnigin,2010-03-10
10283546742,2010-03-10 18:45:00+00:00,tuscaloosacity,"Watch for your #2010Census form. One form per household. Complete it, mail it back. Make a difference. Visit 2010census.gov.",#2010Census,,0,0,,,2010-03-10
10283203557,2010-03-10 18:35:35+00:00,CACensus2010,The top 13 Hard to Count Counties represent 80% of the Hard-to-Count population in CA. Read more @http://tiny.cc/censusHTC #census2010,#census2010,,0,0,,,2010-03-10
10283013949,2010-03-10 18:30:31+00:00,tastestl,@yelpstlouis and @theroyale put together a great way to help #STL in the #2010census. http://cot.ag/cQl1Gb,#STL #2010census,,0,0,@theroyale,,2010-03-10
10282925361,2010-03-10 18:28:12+00:00,VisitNac,Nacogdoches CVB supports the #2010Census. Participate &amp; make a difference for our community. Visit http://bit.ly/1bAznI for details.,#2010Census,,0,0,,,2010-03-10
10282184705,2010-03-10 18:08:07+00:00,TwiterHero,"US #Census needs a catchy slogan like ""Starting the celebrity 3 death countdown"" , but that's a stupid example #census2010 , what? too soon?",#Census #census2010,,0,0,,,2010-03-10
10281995474,2010-03-10 18:03:08+00:00,TwiterHero,"US #Census needs a catchy slogan like ""Counting all Corys"", what? too soon? #census2010",#Census #census2010,,0,0,,,2010-03-10
10281862261,2010-03-10 17:59:46+00:00,TwiterHero,"US #Census needs a catchy slogan like ""Not enuf time to friend you on #Facebook"", but that's a stupid example #census2010",#Census #Facebook #census2010,,0,0,,,2010-03-10
10281680169,2010-03-10 17:54:46+00:00,ebrpl,Received you 2010 Census yet? http://bit.ly/aUchOu #Census2010,#Census2010,,0,0,,,2010-03-10
10281564338,2010-03-10 17:51:40+00:00,AdamLopezFalk,The #2010census #PHXcensus goes railin' @metrorail #PHX (pic) http://znl.me/PKFRTG,#2010census #PHXcensus #PHX,,1,0,@metrorail,,2010-03-10
10281180013,2010-03-10 17:41:21+00:00,jkrule,"Watch for your #2010Census form. One form per household. Complete it, mail it back. Make a difference. Visit 2010census.gov.",#2010Census,,0,0,,,2010-03-10
10281025885,2010-03-10 17:37:16+00:00,akwestmoreland,"I described myself as ""Code Monkey"" on my tax return for 2nd year running. Co-worker suggested ""Bytesmith"". Think about this for #census2010",#census2010,,0,0,,,2010-03-10
10280992409,2010-03-10 17:36:23+00:00,DenverCensus,Take 10 for the #2010Census! Watch the PSA airing now in Denver http://ow.ly/1gDEA,#2010Census,,0,0,,,2010-03-10
10277919570,2010-03-10 16:19:33+00:00,CACensus2010,"It's a big job to count every person. In the past, millions have been missed. #census2010",#census2010,,0,0,,,2010-03-10
