id,timestamp,username,text,hashtags,geo,retweets,favorites,mentions,to,date
13752770779,2010-05-10 22:55:36+00:00,LiviLaBella,i meant to say #2010census,#2010census,,0,0,,,2010-05-10
13745990507,2010-05-10 20:23:49+00:00,TOPolk,"Working for the #census2010 isn't a bad gig, but the training is all sorts of painful. Soooo boring.",#census2010,,0,0,,,2010-05-10
13745229787,2010-05-10 20:05:23+00:00,cityofalbany,"Thank you for making a difference by participating in the #2010Census. By Taking 10, you have helped to shape the future of your community.",#2010Census,,0,0,,,2010-05-10
13744827429,2010-05-10 19:55:43+00:00,gpbnews,#Census Motivates Students Where Parents Aren't http://goo.gl/fb/YD4yl #2010census #georgiacensus,#Census #2010census #georgiacensus,,0,0,,,2010-05-10
13744590658,2010-05-10 19:49:50+00:00,dexandpartners,Congrats to our #2010Census media team and partner agencies for the @MediaWeek recognition... http://bit.ly/cFj1Vm,#2010Census,,0,0,@mediaweek,,2010-05-10
13737086127,2010-05-10 17:08:31+00:00,kineticstudio,@uscensusbureau The Enumerators are coming! http://www.youtube.com/watch?v=fIn-RWoOjSY - Funny video explains their mission for #2010census,#2010census,,0,0,@uscensusbureau,,2010-05-10
13734909621,2010-05-10 16:25:30+00:00,idrivewithash,"Hve you completed ur #Census2010 form? If not, ppl such as I will be at ur home to verify?!...",#Census2010,,0,0,,,2010-05-10
13733490562,2010-05-10 15:54:29+00:00,julio_gonzalez,did you get counted? http://stories2010.com/#/broadway #census2010,#census2010,,0,0,,,2010-05-10
13730425024,2010-05-10 14:47:34+00:00,marajade13,Talked a lot about problem houses.. I am pretty much unable to work until around seven tonight. But I do have one house to call! #2010census,#2010census,,0,0,,,2010-05-10
13725053275,2010-05-10 12:53:18+00:00,DCCensusGal,The machine couldn't read my prints. Back to #Census2010 headquarters to get refingerprinted http://bit.ly/bDcWMs,#Census2010,,0,0,,,2010-05-10
13724934076,2010-05-10 12:50:37+00:00,cityofmarietta,Thank you for making a difference by participating in the #2010Census. You have helped to shape the future of your community.,#2010Census,,0,0,,,2010-05-10
13722113297,2010-05-10 11:45:04+00:00,Zantrilla_,Okay the guy frm #Census2010 came to my window knockn last niqht round 8. Wtf like havent u heard bout all ths peo. getn killd??,#Census2010,,0,0,,,2010-05-10
13683472409,2010-05-09 19:19:44+00:00,TOPolk,That small cross-section of ppl who are #Census2010 workers &amp; #WWE fans can appreciate this: http://bit.ly/a4rYzA (via @iwearthecape),#Census2010 #WWE,,0,0,@iwearthecape,,2010-05-09
13675823955,2010-05-09 16:21:40+00:00,DCCensusGal,Isn't it ironic? Enumerators take oath to keep responses confidential yet Feds ask them 2 give their own phone #for call backs #Census2010,#Census2010,,0,0,,,2010-05-09
13664891910,2010-05-09 12:28:52+00:00,uscensusbureau,"@EthanTremaineAv Question 1 of the #2010Census: ""How many people were living or staying in this house, apartment, or mobile home on 4/1/10?""",#2010Census,,1,0,,,2010-05-09
13650076062,2010-05-09 04:58:47+00:00,DCCensusGal,Tina Fey as #Census2010 enumerator reminds me of my enumerator classmates LOL #SNL #BettyWhite is hilarious! Hope no interviewees like that!,#Census2010 #SNL #BettyWhite,,0,0,,,2010-05-09
13650030494,2010-05-09 04:57:44+00:00,MeMo07,Oh shit....this is going to give people ideas. LMAO... #2010CENSUS #SNL,#2010CENSUS #SNL,,0,0,,,2010-05-09
13631525391,2010-05-08 22:16:11+00:00,one39,This job is a nightmare. #census2010,#census2010,,0,0,,,2010-05-08
13627828845,2010-05-08 20:38:25+00:00,yayponies,"Just in case we weren't counted enough times, we just got counted AGAIN for the #2010census. Officially gay and married, take THAT US govt!",#2010census,,0,0,,,2010-05-08
13626716479,2010-05-08 20:09:28+00:00,IM2SXZ4U,How bout I had to go in to work for a few hours. #2010census,#2010census,,0,0,,,2010-05-08
13624308153,2010-05-08 19:08:32+00:00,flywonder03,U should have filled out the census and sent it back RT @TheRealSchye: This #2010Census lady is in my house!!!!!!!! #GetOUT!!!!!!!!!!!!!!!,#2010Census #GetOUT,,0,0,@TheRealSchye,,2010-05-08
13623762327,2010-05-08 18:55:22+00:00,TheRealSchye,Aaaaaaw what the heck..................! I feel like bein nice..... #2010Census #BeCounted,#2010Census #BeCounted,,0,0,,,2010-05-08
13623654684,2010-05-08 18:52:42+00:00,TheRealSchye,I dont mean to be all mean n things about the #2010Census but um I'd rather not give out my phone numba Lady!,#2010Census,,0,0,,,2010-05-08
13623582855,2010-05-08 18:50:57+00:00,TheRealSchye,This #2010Census lady is in my house!!!!!!!! #GetOUT!!!!!!!!!!!!!!!,#2010Census #GetOUT,,0,0,,,2010-05-08
13612864188,2010-05-08 15:06:24+00:00,Gatita808,Oh my berry! tan buena k taba mi camita hoy y me vienen a levantar pa hacer el jodio #CENSUS2010 #nohaysuerte,#CENSUS2010 #nohaysuerte,,0,0,,,2010-05-08
13611650454,2010-05-08 14:43:48+00:00,DCCensusGal,A jury of your peers went before a judge and attorneys for questions. A class of census enumerators should also be interviewed #Census2010,#Census2010,,0,0,,,2010-05-08
13610751383,2010-05-08 14:25:51+00:00,marajade13,That house kept me waiting outside in the rain for 5-10 minutes... Time to head to my meeting.... #2010census,#2010census,,0,0,,,2010-05-08
13610628145,2010-05-08 14:23:18+00:00,sweetandcute09,Just filled out the #census2010,#census2010,,0,0,,,2010-05-08
13575408496,2010-05-07 23:21:59+00:00,dmackdaddy,"Our economy added 290,000 jobs in April, how many of those were #census2010 workers? #jobsreports",#census2010 #jobsreports,,0,0,,,2010-05-07
13572973772,2010-05-07 22:26:44+00:00,marajade13,"Well... That house was so nice, it almost made up for getting the door slammed in my face earlier... #2010census",#2010census,,0,0,,,2010-05-07
