id,timestamp,username,text,hashtags,geo,retweets,favorites,mentions,to,date
11955866798,2010-04-10 21:04:37+00:00,awstn_jglo,"65% of Williamson County, TX have mailed back their #2010Census. Just 7 days left to deadline! http://ow.ly/i/12wR (map via @uscensusbureau)",#2010Census,,0,0,@uscensusbureau,,2010-04-10
11953695064,2010-04-10 20:06:06+00:00,urfavoritejd,"Great event! Thanks to the men of Kappa Alpha Psi, the ladies of AKA & the ladies of ZPhiB! #Census2010 Block Party Charlotte",#Census2010,,0,0,,,2010-04-10
11953215868,2010-04-10 19:53:30+00:00,Nguyen,"@ewdi #census2010 should be ipad-ready, imagine how much gov will save in tax money?",#census2010,,0,0,@ewdi,ewdi,2010-04-10
11953153759,2010-04-10 19:51:47+00:00,ewdi,"Filled up my census form, ready to mail, and now I can't find it. #census2010",#census2010,,0,0,,,2010-04-10
11953013972,2010-04-10 19:47:58+00:00,CACensus2010,"Next event 240 Seavy Circle, Sacramento 95818. Come out and be counted. Its not to late. #census2010",#census2010,,0,0,,,2010-04-10
11952968691,2010-04-10 19:46:41+00:00,CACensus2010,Great turn out at Burbank High in Sacramento. Over 60 Census forms turned to so far. They are there until 2pm #census2010,#census2010,,0,0,,,2010-04-10
11951068843,2010-04-10 18:56:42+00:00,CACensus2010,Looking for a US Census Partnership Specialist in California? We have them @http://tiny.cc/censusps #census2010 #uscb,#census2010 #uscb,,0,0,,,2010-04-10
11950854589,2010-04-10 18:51:09+00:00,Natural_OneDurr,Am i the only one who thinks these #2010Census trucker hats are kinda cool?,#2010Census,,0,0,,,2010-04-10
11949823836,2010-04-10 18:25:04+00:00,RehemaEDUTAINER,@MarvetBritto I'd be interested in knowing why she's opposed...u opening to sharing? #2010Census,#2010Census,,0,0,@MarvetBritto,MarvetBritto,2010-04-10
11949418975,2010-04-10 18:15:07+00:00,fuc_yo_feelns,LOL @the YES MS MABLE #2010Census commercial...,#2010Census,,0,0,,,2010-04-10
11949400546,2010-04-10 18:14:40+00:00,CACensus2010,Folks here at Burbank HS filling out their forms at the Be Counted Site. Cmon down and be counted. #census2010,#census2010,,0,0,,,2010-04-10
11946657734,2010-04-10 17:10:24+00:00,AsianCDC,Today is March to the Mailbox! ACDC is at markets throughout #Chinatown Remember to fill out and send in your #Census2010 form!,#Chinatown #Census2010,,0,0,,,2010-04-10
11945976262,2010-04-10 16:55:24+00:00,activistchica,Do it :) RT @uscensusbureau: Join your neighbors in the March to the Mailbox and mail back your #2010Census form today: http://bit.ly/cPEPJO,#2010Census,,0,0,@uscensusbureau,,2010-04-10
11945690031,2010-04-10 16:49:01+00:00,elisapiper,@#shopperssquare handing out swag for #census2010. Is there a #foursquare bonus for that? Drop by!,#shopperssquare #census2010 #foursquare,,0,0,,,2010-04-10
11945509632,2010-04-10 16:45:03+00:00,eldiariony,‘March to the Mailbox’ Agotan esfuerzos para lograr la mayor participación de la población http://bit.ly/aBXksz #census2010 #censo,#census2010 #censo #censo,,0,0,,,2010-04-10
11941717098,2010-04-10 15:24:17+00:00,Sunny_Eckerle,the census police have arrived. although I honestly never got a census so not really my fault. #2010census #idontwanna,#2010census #idontwanna,,0,0,,,2010-04-10
11940881898,2010-04-10 15:06:25+00:00,BellaMari06,RT @uscensusbureau: Join your neighbors in the March to the Mailbox and mail back your #2010Census form today: http://bit.ly/cPEPJO,#2010Census,,0,0,@uscensusbureau,,2010-04-10
11939732858,2010-04-10 14:41:23+00:00,stevrnic,RT @uscensusbureau Join your neighbors in the March to the Mailbox and mail back your #2010Census form today: http://bit.ly/cPEPJO,#2010Census,,0,0,@uscensusbureau,,2010-04-10
11939577836,2010-04-10 14:37:53+00:00,uscensusbureau,Join your neighbors in the March to the Mailbox and mail back your #2010Census form today: http://bit.ly/cPEPJO,#2010Census,,4,0,,,2010-04-10
11936770152,2010-04-10 13:30:39+00:00,CACensus2010,What Can U Do? Join Twitter and Facebook and join in with many Californians who receive real time updates. #census2010,#census2010,,2,0,,,2010-04-10
11928458668,2010-04-10 08:37:33+00:00,brookjames,We can now move forward because I mailed it back. #2010census,#2010census,,0,0,,,2010-04-10
11924984003,2010-04-10 06:32:16+00:00,CACensus2010,Did U Know? Decisions made in 2016 ... 2017 .... And 2018 depend on how we participate in the 2010 Census count. #census2010,#census2010,,0,0,,,2010-04-10
11921124984,2010-04-10 04:42:05+00:00,kimmierae61,#Census 2010: How Is America Doing? http://goo.gl/fb/BTr9H #njp #headlines #usnews #blacks #census2010 #censusbureau /via @NEWSJUNKIEPOST,#Census #njp #headlines #usnews #blacks #census2010 #censusbureau,,0,0,@NEWSJUNKIEPOST,,2010-04-10
11920958511,2010-04-10 04:37:45+00:00,NEWSJUNKIEPOST,#Census 2010: How Is America Doing? http://goo.gl/fb/BTr9H #njp #headlines #usnews #blacks #census2010 #censusbureau,#Census #njp #headlines #usnews #blacks #census2010 #censusbureau,,2,0,,,2010-04-10
11918082567,2010-04-10 03:29:34+00:00,TBTOE,C'mon TBTOE!! RT @Will_Cox The #2010Census Challenge tightens! @TBTOE only leads Prattville 71%-69%. (via @TadLong),#2010Census,,0,0,@will_cox @TBTOE @TadLong,,2010-04-10
11917777607,2010-04-10 03:22:38+00:00,TadLong,C'mon TBTOE!! RT @Will_Cox The #2010Census Challenge tightens! @TBTOE only leads Prattville 71%-69%.,#2010Census,,0,0,@will_cox @TBTOE,,2010-04-10
